Soil Moisture,Temperature,Rainfall,Evapotranspiration,Solar_Radiation,Humidity,Hectares,Yied_Hectare_(M.Ton),Total_Production(M.Ton)
0.411184274,26.20479173,0,76.19797043,"16,788.81",70,119707,4.051,484925
0.461933406,26.03896845,8.687487478,64.7745724,"17,804.20",72,60471,3.773,228161
0.437778383,25.62326045,6.535417303,79.29557756,"18,383.17",67,77075,4.582,353127
0.474646089,27.27218052,6.01564663,62.4729388,"17,750.87",75,102563,3.267,335085
0.453846421,26.72871279,3.08E-04,77.06559244,"17,066.79",81,128742,3.937,506840
0.384080964,25.45927575,8.622684195,70.461199,"18,349.34",79,158817,4.118,654035
0.580102956,24.7103721,17.36937329,111.6665647,"18,743.63",82,11207,3.995,44774
0.382973799,26.35985267,5.83218916,69.83259428,"18,084.15",82,87535,4.169,364891
0.387523437,26.52270095,0,100.3393557,"17,137.09",81,68981,4.539,313100
0.535503976,24.76286369,19.00203728,94.49582771,"18,290.46",78,10230,3.343,34202
0.513469286,25.07679611,10.24346948,53.80292045,"18,714.94",79,49204,4.039,198721
0.460490665,26.6763853,8.210836428,82.87435879,"17,607.88",76,166385,4.049,673689
0.400655008,25.59261779,2.594218214,61.11513311,"16,382.08",83,96923,4.235,410475
0.381952379,25.79205547,1.400396248,59.316863,"17,843.12",82,35222,4.053,142749
0.481815541,25.20677585,15.69240303,159.2849746,"18,658.44",83,27641,4.144,114550
0.348555655,25.90630955,0.280745773,71.62159625,"16,153.32",83,53274,4.086,217658
0.449622493,26.58200711,10.8304893,85.92618403,"18,402.44",86,40456,4.065,164460
0.379985427,26.64478811,4.51367435,63.455646,"18,216.88",77,39111,3.942,154191
0.494580945,26.83302146,6.091687484,81.81944609,"18,033.28",74,59235,4.33,256514
0.481902019,26.29535929,7.096343417,65.76561077,"17,883.71",79,47776,3.07,146683
0.430603416,26.2506124,2.197661641,61.72049927,"17,811.08",78,21791,3.986,86868
0.448231397,26.89034129,11.31644901,92.43593075,"18,251.34",76,24792,4.037,100077
0.443693066,26.33182414,3.069660971,75.75850126,"17,405.79",72,261809,4.111,1076409
0.372531224,26.16249035,0,62.9193971,"17,306.05",75,192651,4.482,863446
0.411794297,25.76286344,4.847824366,56.9071887,"18,374.79",72,34586,3.511,121433
0.440109526,27.66073725,9.304714285,77.0981555,"18,060.85",79,53729,3.831,205812
0.48286224,26.96331953,11.26690151,81.14932279,"17,808.32",78,27971,4.204,117576
0.398351063,25.89283813,0.189592575,53.81228006,"17,612.62",79,56643,4.406,249564
0.44055263,26.53532204,2.523814504,75.5354961,"17,403.81",77,174816,4.049,707864
0.361958817,25.38803963,0,71.39948758,"16,279.57",84,82697,4.012,331808
0.445440377,26.01400452,18.12105811,117.3858977,"18,734.49",66,61832,4.199,259655
0.40807506,26.61554715,2.780291668,58.13002471,"17,829.10",70,70310,4.191,294646
0.337006407,25.33755899,0,58.90825786,"15,958.16",73,40194,3.807,153027
0.502736346,25.98309872,32.60405754,87.18655027,"19,002.38",76,2706,2.357,6380
0.552685335,24.90782293,11.94886213,107.0460073,"18,723.56",74,19650,3.596,70659
0.39077243,26.35104672,4.45329884,65.61461808,"18,063.79",68,16597,4.125,68464
0.396703621,25.84945527,0,52.63057055,"17,514.60",72,73136,3.915,286350
0.555918107,23.75963463,25.03516618,119.9523071,"18,508.82",69,7591,4.035,30629
0.385598478,25.82662959,0,81.90476451,"16,553.50",73,134163,4.266,572403
0.485563362,25.48378153,11.80206472,64.11602033,"18,724.51",67,75335,3.814,287338
0.449581901,26.14492311,11.82330076,92.03823926,"18,411.49",73,29366,4.294,126113
0.434237023,26.57411621,0,83.67649418,"16,979.87",67,87082,4.058,353366
0.451046332,26.5383239,3.312458833,81.6746456,"17,591.84",70,138551,4.112,569665
0.479523856,25.79503376,5.067074595,59.78601509,"17,509.51",66,186282,3.488,649668
0.489071051,26.05726767,11.49617206,69.16271469,"17,688.60",65,69117,2.891,199832
0.440114763,26.6542397,3.777586346,80.9860665,"17,636.22",72,166177,4.107,682506
0.371470485,25.94803564,0,52.30406825,"16,540.00",70,63516,3.855,244862
0.532261529,23.98216083,5.283958116,74.52504208,"17,932.61",68,49019,3.894,190876
0.569787011,25.33728813,35.16396593,109.7014092,"18,872.41",62,4443,3.338,14829
0.52507151,24.4563459,16.69632523,86.90446669,"18,234.45",68,294,2.896,851
0.511764541,25.28721904,12.17360286,115.7838635,"17,757.41",59,56666,3.592,203562
0.511353566,25.05165965,25.00698186,131.3796213,"18,173.16",76,56377,3.083,173804
0.407917667,26.37224269,0.090166476,58.92445673,"16,445.12",72,190138,3.621,688437
0.461211114,27.12800709,10.5752212,54.88584931,"16,752.19",71,108628,3.839,417043
0.466106404,25.89951403,4.350186526,99.14237212,"17,423.01",72,64424,3.443,221831
0.426655068,24.78036003,0,31.64089134,"16,724.47",75,48744,3.734,182010
0.492215198,26.63467488,24.30558046,94.83184809,"18,432.30",83,66162,3.476,230000
0.460627926,25.59885598,2.562620134,33.55492695,"17,069.92",72,39205,3.751,147069
0.472027927,26.5787218,8.499943726,67.74283466,"17,289.76",81,49507,3.394,168002
0.47882915,27.60527505,40.91772411,116.3807341,"18,976.38",83,158557,3.636,576496
0.484740794,27.20940005,4.991511888,56.51190193,"16,934.66",81,46867,4.388,205638
0.383992437,25.80950934,0.548476486,44.53236905,"15,637.52",82,179006,4.108,735364
0.449488786,26.78032888,2.980657092,65.25609325,"17,096.94",86,29495,4.089,120612
0.470053564,26.60695627,13.71880039,68.53347622,"17,964.66",79,31524,3.541,111634
0.418338678,25.97042815,0,44.73149159,"15,862.07",78,124246,3.867,480520
0.495348491,26.2441795,4.458652105,59.33437897,"16,663.48",84,60503,3.83,231718
0.490345799,26.4381956,0.24827389,66.82124173,"17,374.36",83,80898,4.573,369965
0.500764531,27.00006559,3.674944363,58.38547343,"16,868.18",80,112615,3.6,405436
0.467500679,26.36503545,0,63.6974277,"16,167.23",79,130528,3.854,503034
0.3897063,25.74665152,4.042648773,47.52451283,"17,445.49",84,157200,4.206,661229
0.55286498,24.29194829,10.44642246,120.2310877,"17,895.04",72,9469,3.84,36356
0.410847887,25.76635336,2.581999878,47.9646266,"17,084.99",82,86952,4.236,368316
0.38029655,26.16292491,0,60.78758443,"16,248.34",83,69198,4.09,283056
0.553915367,24.89236907,21.1339358,82.26133972,"17,801.22",84,10334,3.397,35101
0.522496435,24.85178792,2.642924968,47.97194391,"17,844.15",81,48030,3.726,178971
0.447780227,26.72492238,2.736264138,64.78238496,"16,583.31",86,170059,4.197,713696
0.434424304,25.56860727,2.640051846,54.17555115,"15,392.11",76,101041,4.122,416497
0.406642602,25.32894612,0,42.66357124,"16,943.80",76,36508,3.888,141938
0.512861522,25.37286933,11.23845109,131.2966374,"17,901.94",83,26496,3.786,100316
0.40605598,26.38672312,1.17684581,51.66356131,"15,227.44",81,50830,4.027,204704
0.463194218,27.59720762,5.622548319,71.26239438,"17,379.79",79,39251,4.231,166069
0.417984652,26.25616967,0.103652516,59.90667302,"17,082.89",76,38109,3.909,148980
0.469464139,27.25639206,1.398855407,71.7711807,"16,852.82",80,58410,4.545,265448
0.484802171,26.49637708,6.283497106,72.22684209,"17,202.60",73,50546,3.266,165083
0.444814751,25.7523847,0,33.43984682,"17,058.86",82,21734,4.276,92927
0.451383443,26.73049911,6.151061856,69.37040962,"17,165.90",78,24793,4.213,104440
0.430094437,26.33350252,0,63.40365456,"16,404.82",78,265053,4.075,1080151
0.365492993,25.92250526,0,37.96116032,"16,497.58",81,202728,4.164,844183
0.451346075,26.81762904,0,49.51902906,"17,356.40",82,37239,3.999,148926
0.432585832,26.99515329,4.852136039,62.79399738,"16,939.41",79,50812,3.876,196927
0.496886295,26.44456556,6.305321397,76.04333714,"16,668.19",77,26760,3.806,101838
0.407721799,25.79851826,0,50.77786767,"16,789.18",78,55171,4.588,253141
0.438122066,27.04849836,0,66.73214653,"16,488.95",79,177744,3.954,702751
0.412902137,25.88057205,2.19339291,43.30450125,"15,335.25",78,82185,4.372,359308
0.517846516,25.81732174,15.00329059,101.9691569,"18,137.53",72,59816,4.388,262472
0.411991351,26.1067379,0,50.76200139,"16,799.71",78,69400,4,277632
0.403597733,25.95553866,1.091829704,37.65607486,"15,249.03",69,41235,4.087,168532
0.499400422,24.77351499,25.81225986,109.9675183,"18,257.24",79,2156,2.246,4842
0.55755057,24.42175261,5.546993281,109.3488488,"17,856.97",75,21163,3.767,79712
0.428940084,26.13445927,0.005188911,67.19683507,"16,886.75",78,17466,4.256,74343
0.439320324,25.1382716,0,38.85519961,"16,861.27",76,72458,4.124,298819
0.560244618,24.22097091,26.92267416,108.4079487,"18,130.97",80,7602,3.933,29896
0.402417198,25.7403192,0.052571262,52.17078569,"15,533.08",77,135150,4.478,605244
0.489034216,25.29215622,3.875904003,43.82285812,"17,885.25",73,74935,3.923,293943
0.462579351,26.77024509,7.057884333,83.16833348,"17,416.30",81,27361,4.334,118593
0.433248844,26.51909491,0,68.63414606,"16,039.26",80,89221,3.913,349133
0.461782399,26.23217749,1.676590981,55.04721301,"16,611.81",80,139102,4.249,591063
0.481795033,26.37424437,1.074425008,58.33393339,"16,709.58",81,192704,3.611,695856
0.474174215,26.83298073,9.094020332,60.28501264,"17,110.48",83,72740,2.925,212738
0.440141205,26.35556885,0.615202674,61.51894185,"16,572.68",79,169478,4.307,729912
0.397820362,25.76771685,2.142723241,31.15192931,"15,660.73",76,63739,3.928,250353
0.541784503,25.04554509,18.78803898,53.00585601,"16,226.65",81,49538,3.957,196045
0.576248205,24.38185507,43.62593939,146.9282212,"17,462.58",82,4505,3.399,15311
0.570593775,26.06216916,26.16528243,60.29729166,"16,481.36",83,230,2.989,687
0.525661844,25.57587684,22.72235352,91.94753582,"16,357.03",79,56582,3.695,209042
0.533749715,25.11883136,28.5872066,86.30364184,"16,608.75",83,54853,3.223,176767
0.40087094,26.2228633,5.426444482,82.52460107,"15,998.28",79,187735,3.743,702778
0.509657043,27.32170784,19.65292162,58.23419105,"16,090.78",85,105265,3.901,410659
0.524675138,25.56022977,18.81117123,79.40198991,"16,357.82",82,62341,3.413,212793
0.442967007,26.64306428,0.90834818,54.10015341,"16,066.97",85,48045,3.697,177641
0.519544109,25.73890053,36.63695427,96.37125119,"16,925.44",81,64995,3.423,222501
0.472283577,26.59849933,4.780527543,56.25791522,"16,251.30",85,38127,3.794,144652
0.509664809,26.05034694,20.91398046,64.48812411,"16,291.01",79,48479,3.479,168672
0.504552557,26.5587904,46.19721208,104.6940277,"17,563.10",81,158893,3.661,581778
0.488089301,27.77564351,11.08250938,71.64508443,"16,226.27",83,47691,4.444,211933
0.378928915,26.87298784,1.764914669,74.71992899,"15,849.92",82,177522,4.09,726107
0.486874292,27.7226051,8.723385586,89.79227247,"16,261.70",82,28618,4.066,116346
0.478979952,25.80108733,27.97947851,66.98631465,"16,433.41",77,31797,3.563,113281
0.443975023,25.63073337,5.324695426,73.66828041,"15,903.58",82,122209,3.828,467756
0.480758907,26.49113066,10.22499109,70.3037737,"16,086.25",75,59106,3.962,234186
0.47750993,27.20778762,13.89320812,73.29323708,"16,207.23",83,79225,4.615,365590
0.469281752,26.57828197,18.87504906,62.81007787,"16,375.60",82,112373,3.57,401138
0.473105676,25.50611715,1.992572918,74.59473714,"15,978.76",82,128443,4.083,524431
0.429016339,26.91617565,7.191489807,83.7873248,"16,159.94",82,156116,4.177,652054
0.598550038,25.18396433,21.89417274,84.64262184,"16,331.74",84,8414,3.848,32379
0.44566974,27.44470356,3.627409456,77.88304761,"16,246.65",80,86053,4.18,359742
0.394540084,26.8853388,0.981472757,76.48692931,"16,037.98",77,67555,4.298,290368
0.558975904,24.24682293,38.60354618,97.51569311,"16,425.93",80,9889,3.224,31887
0.546184216,25.48982244,16.80171784,49.95252616,"16,111.62",78,49285,3.585,176698
0.454968188,26.05874056,12.61221866,47.82719021,"16,154.14",78,168635,4.145,699047
0.440655761,24.96254102,6.101124299,74.80210531,"15,768.02",77,101392,4.141,419821
0.444130546,26.47843028,1.422734381,70.67587415,"16,170.94",78,36128,3.685,133117
0.520611287,25.39153947,22.98019232,85.08737073,"16,481.11",72,23680,3.85,91176
0.381986965,26.06635018,2.847953028,77.77927001,"15,507.53",79,47718,3.958,188861
0.481583382,27.699597,18.13317671,86.79651176,"16,335.26",77,38624,4.303,166198
0.458212467,27.75634157,1.411595184,91.04836024,"16,235.06",82,36923,3.669,135459
0.511762564,27.42391212,5.236053804,99.72914224,"16,139.49",81,54809,4.378,239964
0.479963148,25.37229462,25.95563462,71.29695096,"16,658.79",83,49306,3.491,172134
0.470669924,26.77462462,0.867578239,57.71577481,"16,210.90",76,19941,4.016,80086
0.47870841,27.03484285,18.05690956,85.80120096,"16,342.94",71,24668,4.177,103049
0.431867833,25.66905881,5.278543566,61.04328779,"16,199.96",76,264051,4.068,1074189
0.382175135,27.12570829,0.696875073,51.43881495,"16,075.55",77,200665,4.117,826198
0.465243433,27.46200797,10.30930952,74.79010984,"16,167.76",81,36758,3.896,143208
0.486612937,27.30158742,16.75712189,73.96406588,"16,218.01",74,53086,3.729,197940
0.507175796,26.16339147,14.35739241,72.76532498,"16,055.70",78,25833,3.7,95582
0.41437423,26.5481128,1.425223188,76.02197005,"16,048.26",74,53478,4.531,242312
0.447034644,25.70621498,11.20370464,49.36715829,"16,412.96",80,179707,4.023,722996
0.37202565,25.6180975,1.223996752,72.77828163,"15,569.42",78,81078,4.344,352182
0.488588117,25.45505413,26.76957795,76.18470513,"16,593.54",82,57858,4.542,262818
0.451567251,26.94329484,1.79249189,73.61239933,"16,052.17",80,68665,3.974,272865
0.345188568,25.74007481,0.185343435,74.97961362,"15,279.91",83,39696,4,158779
0.536552015,25.96918635,31.80679294,61.85338292,"16,579.48",80,1582,2.083,3295
0.572867588,25.33887942,18.36266014,70.28758752,"16,251.45",83,20379,3.592,73206
0.468595195,27.03960378,4.662277869,100.4543184,"16,152.13",81,16805,4.224,70983
0.442190492,26.36817379,1.186931989,62.8213316,"16,097.58",80,70072,4.059,284455
0.587340006,23.56507929,40.9743999,121.4475724,"16,771.39",79,7718,3.886,29993
0.405043977,25.76622455,6.094070167,85.19407259,"15,830.86",77,131795,4.412,581456
0.544641029,26.37303412,18.07470912,62.79908944,"16,078.53",78,73288,3.872,283772
0.501336151,26.77909064,20.64629807,100.160174,"16,379.02",74,26805,4.166,111664
0.427689553,25.62152996,2.10341086,70.03606672,"16,032.31",80,89762,3.992,358303
0.478938609,26.52084442,4.109394659,71.07248471,"15,958.95",78,138126,4.22,582925
0.48276666,25.64530906,13.71545508,42.60187853,"16,555.67",78,189367,3.619,685226
0.45614986,26.1564566,25.01539915,51.6983358,"16,694.65",81,69929,2.881,201490
0.463900583,26.2146838,6.311575785,83.07311758,"16,028.28",83,168011,4.319,725634
0.355373383,26.57951546,2.43405981,63.47455305,"15,755.64",80,62354,3.913,243972
0.519458764,24.42277847,72.72889836,74.15428979,"17,137.56",75,52630,4.154,218606
0.542937527,25.10717597,144.2239382,123.3157221,"18,007.02",82,4468,3.03,13536
0.516878869,25.66456309,114.7104064,75.49569332,"17,500.93",79,348,3.175,1105
0.478249486,25.17643216,122.3004226,110.5921015,"16,970.25",80,53708,3.832,205807
0.483297635,25.16637523,158.5450863,109.5306421,"17,450.01",80,47090,3.515,165500
0.391564843,26.26209618,10.81129605,32.18461495,"16,169.13",83,185741,3.876,719981
0.475416469,26.93419565,116.8926632,66.05539169,"16,231.41",70,101664,3.917,398252
0.468561831,25.54904628,100.5551923,85.51377422,"16,811.57",81,110467,3.948,436136
0.432473529,25.97156544,0.359744259,16.83281141,"16,063.25",78,46141,3.807,175669
0.480723082,26.40113653,179.7191764,87.31259976,"17,495.66",77,61535,3.05,187680
0.484630173,26.41264252,43.8351716,34.10055056,"16,147.57",78,35160,3.863,135832
0.460409933,26.20592114,125.7526125,53.6103965,"16,734.81",71,50962,3.889,198203
0.468913375,27.35546465,144.1317105,131.2411109,"18,218.09",72,156242,3.676,574371
0.478744404,26.80916729,73.7601004,66.456743,"16,384.80",73,48268,4.537,218997
0.393695311,26.20663597,0.675770126,17.55836741,"16,050.37",77,176509,4.007,707246
0.470528045,26.80676639,54.93786954,86.71105238,"16,349.78",74,24139,4.164,100513
0.445178693,26.12165722,191.6785872,63.23998711,"17,183.51",74,29719,3.708,110208
0.398330007,25.97223988,2.516348723,21.93001547,"15,996.26",73,125368,3.839,481241
0.447111447,25.95982957,78.04296373,60.86094933,"16,260.35",76,56413,3.964,223605
0.472913732,26.01311056,60.74640718,79.16507425,"16,518.35",78,75161,4.715,354418
0.453153566,26.56101096,107.3661307,66.56248491,"16,253.67",73,95820,3.526,337832
0.471121876,25.98799056,10.20523176,39.91482446,"16,196.50",78,128682,3.937,506653
0.443069761,25.96132968,49.38319039,53.90289211,"16,455.53",79,151964,4.402,669014
0.545345248,25.10941313,115.0596551,109.634911,"17,094.56",81,8595,3.868,33249
0.436703985,26.8691685,47.0668878,51.47996011,"16,199.65",75,83211,4.315,359082
0.408486322,26.72558381,3.588099286,29.23686374,"16,093.64",78,68027,4.318,293753
0.527270288,24.75753818,196.6910838,112.2903051,"16,730.03",71,9886,3.348,33094
0.51460923,24.71760617,58.23774396,51.51999208,"17,018.13",84,48992,4.06,198901
0.431331695,25.97879676,91.56577857,59.46252668,"16,128.77",76,116262,4.33,503363
0.426799049,25.47123544,4.090264876,33.38873997,"15,975.17",81,107030,4.003,428420
0.438194993,26.47343269,34.11763433,44.24193361,"16,093.84",80,34011,3.993,135811
0.469049424,25.20371975,142.2602889,90.23659979,"17,195.93",81,23680,3.824,90545
0.407808816,26.00910413,0.953685307,27.38525764,"15,995.96",81,47875,4.121,197277
0.468804802,26.78484457,75.92469213,98.05722915,"16,609.73",79,32519,4.478,145625
0.449578109,27.1140813,45.58920488,72.71210751,"16,244.31",84,33816,4.1,138638
0.48662591,26.40708794,55.03599802,85.56640746,"16,296.99",83,50566,4.561,230617
0.449074394,25.70761558,124.4977095,79.41783276,"16,407.79",83,39289,3.37,132412
0.450568275,26.89802355,30.08934425,38.02168374,"16,103.71",78,21440,3.976,85244
0.468857773,26.5295638,82.34315599,97.61630266,"16,542.88",80,24048,4.194,100860
0.394740603,26.09182163,49.06435273,49.74298937,"16,342.66",77,263271,4.075,1072834
0.376526929,26.62484243,2.821936793,13.25357626,"16,104.50",84,192009,4.112,789518
0.457282238,26.28082886,48.35969431,67.42551833,"16,430.41",80,38121,4.13,157436
0.464676874,27.07970691,83.99107187,67.93124127,"16,413.59",83,51112,3.732,190769
0.467009331,26.13949322,96.13421644,80.82935415,"16,201.17",82,25240,3.955,99814
0.444775997,26.21105709,13.65927757,41.03186084,"16,115.21",86,52613,4.606,242318
0.415397363,26.55069995,65.05934543,47.99806439,"16,334.32",76,140812,4.001,563439
0.411198985,25.6981392,0.50991782,21.15348946,"16,065.16",74,80408,4.207,338249
0.446161089,25.90680186,173.3281114,80.40424556,"17,408.70",80,59809,4.509,269706
0.446895179,26.69309007,33.28332781,54.62477108,"16,163.11",78,60554,3.987,241412
0.405610341,26.09619526,0,23.98826256,"16,012.95",78,36024,4.091,147361
0.48235102,25.90766485,156.2422977,92.79144735,"17,528.44",73,923,2.652,2446
0.534342647,25.01553455,83.96383532,105.3631994,"17,042.80",75,19525,3.967,77460
0.461581361,26.75541987,46.5314434,73.91007832,"16,190.99",71,14614,4.302,62870
0.44651516,26.10488996,7.257983438,25.14186392,"16,062.17",81,66717,4.087,272701
0.542265544,24.29544899,184.8985316,137.8974566,"16,978.74",77,7530,4.151,31261
0.382074737,25.7473059,4.936839868,29.4184428,"15,960.42",78,132796,4.26,565685
0.500044078,25.11428261,57.24854155,52.34246431,"17,067.66",79,74228,3.941,292504
0.452370731,26.35573585,88.45386732,101.8191661,"16,710.57",82,27407,4.089,112066
0.428443832,26.19342011,11.54970849,44.5057221,"16,234.78",79,86642,4.066,352272
0.452126439,26.46647395,23.60498927,40.91710119,"16,226.67",78,137923,4.106,566275
0.46084254,25.59056218,78.56919493,35.72453705,"16,326.38",82,54388,3.613,196500
0.443953768,26.16750774,98.0892085,40.41094543,"16,475.45",82,57909,2.894,167560
0.4536303,26.11515008,41.02880459,51.88657709,"16,300.91",84,167894,4.175,700906
0.403559306,26.38351695,0,19.0410237,"16,227.34",76,59964,4.221,253090
0.506506595,24.78582107,54.91767133,93.1060186,"17,024.40",82,50831,4.32,219577
0.546358034,25.48483967,69.81295555,177.8363419,"17,800.49",74,6302,3.466,21840
0.567918829,25.44256168,68.59345477,99.74655522,"17,346.30",83,415,3.054,1268
0.511766478,25.55000398,67.66648591,115.8679114,"16,983.21",85,52339,3.844,201186
0.514567522,25.23148346,83.53608893,113.2715401,"17,330.49",80,45568,3.521,160434
